#OS,Criado por,Tipo OS,Dt Criação,Viab/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS100/2011,Ricardo,Manutenção,23/02/11,,,,,,,Telbrax,,Manutenção de Rede, Av. Bernardo Monteiro,Concluído,,02/03/2011,,,,"0,00",,,"320,00","320,00",Ok,"-320,00"
OS101/2011,Ricardo,Manutenção,23/02/11,,,,,,,Telbrax,,Manutenção de Rede, Rua Rodrigues Caldas - CREA,Concluído,,02/03/2011,,,,"0,00",,,"320,00","320,00",Ok,"-320,00"
OS102/2011,Ricardo,Manutenção,25/02/11,,,,,,,Telbrax,,Manutenção de Rede, Rua Rodrigues Caldas - CREA,Concluído,,02/03/2011,,,,"0,00",,,"320,00","320,00",Ok,"-320,00"
OS103/2011,Ariana,Implantação,26/05/11,,10,05/06/2011,EILD,10 Mbps,,CTBC,H H PICCHIONI S A CORRETORA DE CAMBIO E VALORES MOBIL.,,"Rua Bernardo Monteiro, 5351, funcionários / Av. do contorno, 5351, Cruzeiro",Concluído,,13/06/2011,"1.142,94","360,00","627,10","2.130,04","995,24","360,00","593,10","1.948,34",Ok,"181,70"
OS104/2011,Ricardo,Manutenção,02/03/11,,,,,,,Telbrax,,,Telbrax - Manutenção de Rede - Av. Tito Fulgêncio ,Concluído,,02/03/2011,,,,"0,00","80,24",,"370,00","450,24",Ok,"-450,24"
OS105/2011,Ricardo,Manutenção,17/03/11,,,,,,,Telbrax,,Troca de poste CEMIG ,BR-381,Concluído,,18/03/2011,,,,"0,00","11,07",,"320,00","331,07",Ok,"-331,07"
OS106/2011,Ricardo,Manutenção,01/04/11,,,,,,,Telbrax,,Serviço de Pátio - Troca de Cabo - Bobina,Telbrax - Serviço de Pátio - Troca de Cabo - Bobina,Concluído,,01/04/2011,,,,"0,00",,,"360,00","360,00",Ok,"-360,00"
OS107/2011,Ricardo,Manutenção,18/03/11,,,,,,,Telbrax,,Troca de poste CEMIG, Av. Cardeal Eugênio Pacelli,Concluído,,18/03/2011,,,,"0,00","74,24",,"547,90","622,14",Ok,"-622,14"
OS108/2011,Ricardo,Manutenção,22/03/11,,,,,,,Telbrax,,Manutenção de Travessia,Av. Antônio Carlos,Concluído,,22/03/2011,,,,"0,00","2,05",,"420,00","422,05",Ok,"-422,05"
OS109/2011,Ricardo,Manutenção,26/04/11,,,,,,,Telbrax,,Troca de Poste , Av. Tito Fulgêncio,Concluído,,26/04/2011,,,,"0,00","180,78",,"502,00","682,78",Ok,"-682,78"
OS110/2011,Ricardo,Manutenção,27/04/11,,,,,,,Telbrax,,Troca de Poste (5), Av. Tito Fulgêncio,Concluído,,27/04/2011,,,,"0,00","48,60",,"425,00","473,60",Ok,"-473,60"
OS111/2011,Ricardo,Manutenção,20/04/11,,,,,,,Telbrax,,Serviço de vistoria de acidente ocorrido de cabo, na Rua Ipê Branco com Av. Antônio Carlos,Concluído,,20/04/2011,,,,"0,00",,,"100,00","100,00",Ok,"-100,00"
OS112/2011,Ricardo,Manutenção,23/05/11,,,,,,,Telbrax,,Manutenção de Rede,Manutenção de Travessia - Av. Nossa Senhora do Carmo,Concluído,,23/05/2011,,,,"0,00","2,05",,"320,00","322,05",Ok,"-322,05"
OS113/2011,Ricardo,Manutenção,23/05/11,,,,,,,Telbrax,,Troca de Poste CEMIG - KPL,Troca de Poste - Rua Antônio Gonçalves Neto - KPL ,Concluído,,23/05/2011,,,,"0,00","5,41",,"620,00","625,41",Ok,"-625,41"
OS114/2011,Ricardo,Manutenção,23/05/11,,,,,,,Telbrax,,Troca de Poste CEMIG - Av. David Sarnoff,Troca de Poste - Av. General David Sarnoff,Concluído,,23/05/2011,,,,"0,00","18,62",,"320,00","338,62",Ok,"-338,62"
OS115/2011,Ricardo,Manutenção,23/05/11,,,,,,,Telbrax,,Troca de Poste CEMIG - Av. Barbacena,Troca de Poste - Av. Barbacena com Av. Contorno,Concluído,,23/05/2011,,,,"0,00","69,83",,"458,00","527,83",Ok,"-527,83"
OS116/2011,Ariana,Implantação,31/05/11,PE241/2011,3,03/06/2011,IP Flex,2 Mbps,,Banco Pottencial,,Instalação de IP Flex de 2Mbps,"Av Afonso Pena 4100, Cruzeiro / Rua Rio Grande do Norte, 694, Funcionários",Concluído,,11/07/2011,"876,33","425,00","361,00","1.662,33","699,39","425,00","527,40","1.651,79",Ok,"10,54"
OS117/2011,Ariana,Alteração de Serviço,01/06/11,,,,IP Flex,10 Mbps,,Banco Pottencial,,Upgrade de 10Mbps,"Av Afonso Pena 4100, Cruzeiro",Concluído,,,,,,"0,00",,,,"0,00",Ok,"0,00"
OS118/2011,Ariana,Mudança de Endereço,01/06/11,,,,Connect Flex Multi,1 Mbps,,Hermes Pardini,,Mudança de endereço,"Rua Aimorés, 66, Funcionários / Rua Paracatú, 700, Barro Preto.",Concluído,,03/06/2011,"5.770,37","525,00","310,80","6.606,17",,,,"0,00",Incompleta,"6.606,17"
OS119/2011,Djalma,Manutenção,02/06/11,,20,22/06/2011,,,,Telbrax,,Remanejamento de rede - Instalação de rede nova e retirada de rede antiga ,"Av. Cardeal Eugênio Pacelli, 871, Cidade Industrial / Av. Tito Fulgêncio, 361, Barreiro",Concluído,,08/06/2011,"9.780,78","1.950,00","3.639,50","15.370,28",,,,"0,00",Incompleta,"15.370,28"
OS120/2011,Ruan,Expansão,03/06/11,,,,,,,Telbrax,,Implantação POP ENO,Implantação de container na loja elétrica para implementação de novo POP,Suspensa,"Ruan, projeto paralizado por prioridade",,"15.386,00",,"11.100,00","26.486,00",,,,"0,00",-,"26.486,00"
OS121/2011,Ruan,Expansão,03/06/11,,,,,,,Telbrax,,1° lote da revitalização da Savassi,Revitalização da Savassi,Concluído,,05/08/2011,"9.799,66",,"44.716,00","54.515,66","3.880,00",,"52.217,40","56.097,40",Ok,"-1.581,74"
OS122/2011,Ariana,Cancelamento,03/06/11,,,,,,,Montreal,,Cancelamento do link temporário BHE-01-0013-00-005.,"Av do Contorno, 6920, Lourdes / Av. Prof. Magalhães Penido, 77, Aeroporto",Concluído,,30/06/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS123/2011,Ricardo,Manutenção,03/06/11,,,,,,,Telbrax,,Manutenção de Rede,Troca de cabo queimado - Av. Raja Gabaglia,Concluído,,02/06/2011,,,,"0,00",,,"250,00","250,00",Ok,"-250,00"
OS124/2011,Ricardo,Manutenção,02/06/11,,,,,,,Telbrax,,Manutenção de Rede,Lançamento de cabo e instalação de Optloop,Concluído,,02/06/2011,,,,"0,00","2.135,92",,"551,50","2.687,42",Ok,"-2.687,42"
OS125/2011,Ricardo,Manutenção,06/06/11,,,,,,,Telbrax,,Manutenção de Rede,Instalação de optloop - Via Expressa,Concluído,,06/06/2011,,,,"0,00","255,60",,"80,00","335,60",Ok,"-335,60"
OS126/2011,Ruan,Expansão,06/06/11,,,,,,,Telbrax,,Dutos na Savassi Rua Pernambuco com Tomé de Souza (Travessia),Rua Pernambuco esq. com Rua Tomé De Souza,Concluído,,04/08/2011,"430,00",,"1.568,00","1.998,00",,,,"0,00",Incompleta,"1.998,00"
OS127/2011,Ruan,Expansão,10/06/11,,,12/07/2011,,,,Telbrax,,Dutos na Savassi Rua Pernambuco com Fernandes Tourinho (Travessia),Rua Pernambuco esq. com Rua Fernandes Tourinho,Concluído,Lançamento Embratel,04/08/2011,"1.300,00",,"8.765,70","10.065,70",,,,"0,00",Incompleta,"10.065,70"
