#OS,Criado por,Tipo OS,Dt Criação,Viab/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS225/2011,Ariana,Implantação,08/09/11,,60,08/11/2011,Fibra Apagada,,,Banco Rural,,,"Ponta A:Rua Rio de Janeiro, 972, (garagem) Centro/Ponta B: Rua dos Goitacazes, 250, Centro",Suspensa,"Pendente cliente, aguardando liberação",,"13.589,07","3.380,00","16.071,90","33.040,97","5.307,20","2.590,00","17.682,00","25.579,20",-,"7.461,77"
OS226/2011,Andrea,Implantação,08/09/11,,8,16/09/2011,IP Flex,6 Mbps,,CIMCORP,,Link IP Flex 5 Mbps,"Rua Paraíba, 1323 - 3 andar",Concluído,,14/09/2011,"1.234,37","235,00",,"1.469,37",,,,"0,00",Incompleta,"1.469,37"
OS227/2011,Ricardo,Manutenção,02/09/11,,,05/09/2011,,,,Telbrax,,,Rua Antônio Gonçalves Neto,Concluído,,09/09/2011,"21,62","0,00","250,00","271,62","21,62",,"250,00","271,62",Ok,"0,00"
OS228/2011,Ricardo,Manutenção,02/09/11,,,05/09/2011,,,,Telbrax,,Manutenção Unimed prox. praça Cemig,Fonte Grande,Concluído,,09/09/2011,"11,86","0,00","250,00","261,86","11,86",,"250,00","261,86",Ok,"0,00"
OS229/2011,Ariana,Implantação,12/09/11,,20,01/10/2011,EILD,5 Mbps,,CTBC,SITTA SOC CORRETORA,,"Rua Rio Grande do Norte, 988 - Belo Horizonte/MG - Cep: 30.130-131",Concluído,,26/09/2011,"2.887,01","305,00","1.058,40","4.250,41","2.828,19","370,00","1.199,95","4.398,14",Ok,"-147,73"
OS230/2011,Ruan,Expansão,12/09/11,,45,01/01/2012,,,,Telbrax,,"Expansão do Datacenter: QGBT, PDU, Gerador, Ar Condicionado, No-Break, Sistema de Combate a Incêndio","Rua Pirapetinga, 322 - Sl. 309 - Serra",Concluído,Ruan - Previsão 03/2012,,"42.000,00",,"7.800,00","49.800,00",,,,,Incompleta,"49.800,00"
OS231/2011,Mário,Implantação,15/09/11,,20,05/10/2011,EILD,150 Mbps,,INTELIG,EQUANT BRASIL,Implantação EILD 150 Mbps,"Ponta A: Av. Raja Gabáglia, 1781 - / Ponta B: Av. Brasil, 1438, Sala 701 - Funcionários",Concluído,,04/10/2011,"5.894,36","790,00","788,10","7.472,46",,,,,Incompleta,"7.472,46"
OS232/2011,Mário,Implantação,15/09/11,,20,05/10/2011,EILD,150 Mbps,,INTELIG,EQUANT BRASIL,Implantação EILD 150 Mbps,"Ponta A: Av. Raja Gabáglia, 1781 - / Ponta B: Av. Brasil, 1438, Sala 701 - Funcionários",Cancelada,Verificar cancelamento com Andrea,23/09/2011,"0,00","120,00","0,00","120,00","840,45",,"763,50","1.603,95",-,"-1.483,95"
OS233/2011,Djalma,Expansão,14/09/11,PE096/2011,30,14/10/2011,,,,Telbrax,,Implantação de rede com redundância para ampliação e atendimento na região,"Rua Solferina Ricci Pace, 470 / Av. Raja Gabaglia, 1781",Concluído,,21/09/2011,"61.101,67","10.700,00","21.380,00","93.181,67","27.798,62",,"11.012,00","38.810,62",Ok,"54.371,05"
OS234/2011,Mário,Implantação,20/09/11,,15,29/09/2011,Connect Flex,100Mbps,,SEI Engenharia Ltda.,,Implantação de Connect Flex de 100 Mbps,"Ponta A: Av. Afonso Pena 1500-9° andar, Centro/ Ponta B: Rua Urucuia, 48, Floresta",Concluído,,30/09/2011,"5.309,67","1.025,00","939,50","7.274,17","2.722,96",,"1.328,00","4.050,96",,"3.223,21"
OS235/2011,Djalma,Implantação,21/09/11,,2,23/09/2011,Back Up link,,,Telbrax,PPI Montreal,Implantação de uma nova rota para back up do PPI montreal Pampulha,"POP PRO - Rua Padre Rolim, 18 - Santa Efigênia / PPI - Av. Magalhães Penido, 77 Pampulha",Concluído,,21/09/2011,"577,62","165,00",,"742,62",,,,,,"742,62"
OS236/2011,Mário,Alteração de Serviço,22/09/11,,,23/09/2011,EILD,4 Mbps,,CTBC,Vila Nova,Alteracao de velocidade para 4 Mbps,"Rua Senador Milton Campos,  35 Vila da serra - Nova Lima MG",Concluído,,22/09/2011,,,,"0,00",,,,,,"0,00"
OS237/2011,Mário,Cancelamento,23/09/11,,,23/09/2011,Fibra Apagada,,,Belvitur,Belvitur,Cancelamento de link de fibra apagada,"Ponta A:Rua Professor Antônio Aleixo, 604 - Lourdes/ Ponta B: Rua Curitiba, 2327 - Lourdes",Concluído,,05/10/2011,,,,"0,00",,,,,,"0,00"
OS238/2011,Ricardo,Expansão,26/09/11,,,26/09/2011,,,,Telbrax,,Ampliação de Caixa Subt R2 Rua da Bahia,Rua da Bahia,Concluído,,26/09/2011,,,,"0,00","430,00",,"1.080,00","1.510,00",,"-1.510,00"
OS239/2011,Mário,Implantação,26/09/11,,25,23/10/2011,EILD,5 Mbps,,Global Crossing,Geraldo Corrêa Corr. de Val. Mobiliários S/A ,Implantação de EILD 5 Mbps,"Ponta A:Av. Brasil, 1438 sl. 604  / Ponta B: Rua Josafá Belo,234  - Cidade Jardim",Concluído,,18/11/2011,"2.981,35","525,00","967,30","4.473,65",,,,,,"4.473,65"
OS240/2011,Mário,Implantação,26/09/11,,25,21/10/2011,EILD,5 Mbps,,Global Crossing,Geraldo Corrêa Corr. de Val. Mobiliários S/A ,Implantação de EILD 5 Mbps,"Ponta A:Av. Brasil, 1438 sl. 604  / Ponta B: Rua Josafá Belo,234  - Cidade Jardim",Suspensa,,,,,,"0,00",,,,,,"0,00"
OS241/2011,Mário,Mudança de Endereço,29/09/11,,,29/09/2011,Fibra Apagada,,,UNIMED,,Mudança de endereço de circuito de fibra apagada,"Ponta A: Av. Francisco Sales, 1483 - Santa Efigênia CEP 30.150-221/ Ponta B: Rua Gonçalves Dias, 201. ( Nas Gonçalves dias",Concluído,,03/11/2011,"1.790,01","480,00","792,20","3.062,21",,,,,,"3.062,21"
OS242/2011,Wendell,Manutenção,29/09/11,,1,30/09/2011,IP Flex,1 Mbps,,Hospital Vila da Serra,,Alteração da Sala de atendimento,"Alameda da Serra, 499 - Vila da Serra",Concluído,,30/09/2011,"0,00","120,00","0,00","120,00",,,,,,"120,00"
OS243/2011,Mário,Implantação,29/09/11,PE110/2011,10,09/10/2011,Connec Flex DUO,100Mbps,,MRV Engenharia,,Implantação Connect Flex Duo 100 Mbps," Ponta A: Av. Raja Gabaglia, 2720, Estoril - BH/MG - Ponta B: Av. Amazonas, 491, centro - BH/MG",Concluído,,24/10/2011,"8.148,10","2.180,00","6.996,00","17.324,10","8.147,00","2.180,00","12.024,00","22.351,00",,"-5.026,90"
OS244/2011,Mário,Implantação,29/09/11,PE110/2011,30,29/10/2011,Fibra Apagada,,,MRV Engenharia,,Implantação Fibra Apagada,"Ponta A: Av. Raja Gabáglia, 2720, Estoril - BH/MG - Ponta B: Av. Mário Werneck, 120,BH/MG",Concluído,,01/11/2011,"6.609,76","1.410,00","3.138,40","11.158,16",,,,,,"11.158,16"
OS245/2011,Ricardo,Manutenção,30/09/11,,,30/09/2011,,,,Telbrax,,Manutenção da Rede - Troca de Poste CEMIG,Rua Walter Guimarães esquina com Vitório Magnavacca,Concluído,,03/10/2011,,,,"0,00","42,70",,"600,00","642,70",,"-642,70"
OS246/2011,Ricardo,Manutenção,03/10/11,,,03/10/2011,,,,Telbrax,,Manutenção da Rede - Troca de Poste CEMIG,Rua Prof. Estevão Pinto com Rua Trifana,Concluído,,03/10/2011,,,,"0,00",,,"250,00","250,00",,"-250,00"
OS247/2011,Ricardo,Manutenção,03/10/11,,,03/10/2011,,,,Telbrax,,Manutenção da Rede - Instalação de Raquete - Serra do Curral,Serra do Curral,Concluído,,03/10/2011,,,,"0,00","76,30",,"250,00","326,30",,"-326,30"
OS248/2011,Pedro,Alteração de Serviço,06/10/11,,11,17/10/2011,,40 Mbps,,Banco BMG,,Alteração de velocidade temporária de 10 Mbps para 40 Mbps durante 10 dias a partir do dia 07/10/2011,"Ponta A: Av. João Pinheiro, 190  / Ponta B: Av. Getúlio Vargas, 668 6º Andar, Funcionários ",Concluído,,07/10/2011,,,,"0,00",,,,,,"0,00"
OS249/2011,Mário,Implantação,10/10/11,,25,04/11/2011,EILD,5 Mbps,,CTBC,CORRETORA RUY LAGE,Implantação EILD 5 Mbps,"Ponta A: Avenida Afonso Pena, 2484 - Funcionários - Belo Horizonte/MG - CEP. 30130-007/ Ponta B: AV. DO CONTORNO, 5351 - 16º ANDAR - CRUZEIRO - BELO HORIZONTE/MG",Concluído,,07/11/2011,"3.316,67","450,00","920,20","4.686,87","1.747,34","450,00","683,00","2.880,34",,"1.806,53"
OS250/2011,Mário,Implantação,11/10/11,,25,05/11/2011,EILD,100 Mbps,,Global Crossing,PRIMESYS SOLUÇÕES EMPRESARIAIS S.A,Implantação EILD 100 Mbps,"Ponta A: : Av. Brasil, 1438 sl. 604 – Belo Horizonte - MG/ Ponta B: Rua da Bahia, 951 - 5º andar - Centro Belo Horizonte/MG - CEP: 30160-011",Cancelada,,09/11/2011,"7782,88","2.255,00","3.090,00","13.127,88","5.294,60","2.255,00","3.400,20","10.949,80",,"2.178,08"
OS251/2011,Mário,Alteração de Serviço,11/10/11,,,11/10/2011,IP Flex,8Mbps,,Quality,,Alteração de velocidade de 4 Mbps para 8 Mbps. ,"Ponta A: Av. Afonso Pena, 3761 - Serra",Concluído,,13/10/2011,,,,"0,00",,,,,,"0,00"
OS252/2011,Pedro,Manutenção,07/10/11,,,15/10/2011,,,,,,Manutenção Preventiva -Rota Belvedere - Serra e Rota Serra - PRO (Padre Rolim),Av. do Contorno/ Av. Nossa Senhora do Carmo/ Praça Nelson Gouveia/ Rua Santa Rita Durão,Concluído,,02/11/2011,"45,72","0,00","640,00","685,72",,,,,,"685,72"
OS253/2011,Pedro,Manutenção,07/10/11,,,15/10/2011,,,,,,Manutenção Preventiva - Rota POP Barro Preto - POP Contagem(Unimed),Av. Pedro II / Av. David Sarnoff / Rua Rio Paraopeba / Rua Rio Jaguaripe / ...,Concluído,,01/11/2012,"115,68","0,00","1.060,00","1.175,68",,,"670,00","670,00",,"505,68"
OS254/2011,Pedro,Manutenção,07/10/11,,,15/10/2011,,,,,,Manutenção Preventiva - Rota POP Contagem - Bairro Cinco (Fonte Grande),Rua Caetano / Rua Professor Aureliano / Rua Eugênia Sá Fortes / Av. José Diniz Silva / Av. João César,Concluído,,26/03/2012,"118,03","0,00","1.285,00","1.403,03","668,45",,"2.450,00","3.118,45",,"-1.715,42"
OS255/2011,Mário,Implantação,13/10/10,,15,28/10/2010,Fibra Apagada,,,Unimed,,Implantação Fibra Apagada Unimed (Francisco Sales / Inconfidentes),"Ponta A: Av. Francisco Sales, 1483 - Santa Efigênia / Ponta B: Rua dos Inconfidentes, 44 Funcionários",Concluído,,10/11/2011,"1.063,17","395,00","371,70","1.829,87",,,,,,"1.829,87"
OS256/2011,Ruan,Implantação,20/10/11,,5,25/10/2011,,,,Telbrax / Valenet,,Implantação do POP QLT RPT,"Av. Afonso Pena, 3761 - Serra - Belo Horizonte",Concluído,,,"3.256,40",,"200,00","3.456,40","143,00",,"320,00","326,30",,"3.130,10"
OS257/2011,Mário,Implantação,21/10/11,,7,28/10/2011,Fibra Apagada,,,Telbrax,,Implantação de fibra Apagada,"Ponta A: Rua Pirapetinga, 322 Conj 309. 3º andar/Ponta B: Rua Pirapetinga, 322, Loja 04",Concluído,Wendell - Previsão 22/11/2011 (Pendência Projeto interno Ruan),10/01/2012,,,,,,,,,,"0,00"
OS258/2011,Mário,Implantação,21/10/11,,10,31/10/2011,EILD,10 Mbps,,Global Crossing,Mercantil do Brasil Corretora SA Camb TS VS Mobils,Implantação de EILD 10 Mbps,"Ponta A: Av. Brasil, 1438, Sl 604 - Belo Horizonte/ Ponta B: Rua rio de Janeiro , 654, Belo Horizonte",Concluído,,09/11/2011,"1.466,86","235,00","0,00","1.701,86",,,,,,"1.701,86"
OS259/2011,Pedro,Manutenção,20/10/11,,,20/10/2011,,,,,,Retencionamento cabo existente AV. Amazonas,Av. Amazonas,Concluído,,,,,,"0,00",,,"500,00","500,00",,"-500,00"
OS260/2011,Mário,Implantação,25/10/11,,20,14/11/2011,EILD,34 Mbps,,Intelig Telecomunicações Ltda.,,Implantação de EILD Intellig/Almaviva,"Ponta A: Rua Jornalista Geraldo Teixeira Costa, 69, Floresta/ Ponta B: R. Solferina Ricci Paci, 470, Vale do Jatobá",Concluído,,18/11/2011,"2.450,81","420,00","723,00","3.593,81",,,,"0,00",,"3.593,81"
OS261/2011,Mário,Implantação,25/10/11,,20,14/11/2011,EILD,2 Mbps,,Intelig Telecomunicações Ltda.,Aeroportos,Implantação de EILD Intelig/ Aeroportos,"Ponta A: Av. Raja gabáglia, 1781 - / Ponta B: Praça Bagatelle, 204, São Luiz (Infraero)",Concluído,,19/03/2012,"4.223,52","495,00","1.697,00","6.415,52","4.763,60","420,00","2.633,32","7.816,92",,"-1.401,40"
OS262/2011,Mário,Implantação,25/10/11,,15,09/11/2011,IP Flex,5 Mbps,,AeC Centro de Contatos SA,,Implantação Connect Flex," Ponta B: Av. Augusto de Lima, 1263, Barro Preto",Concluído,"Pendência na tubulação interna do cliente, sem previsão, Cliente ciente",01/12/2011,"1.215,97","240,00","767,70","2.223,67","1.229,59","240,00","1.556,60","3.026,19",,"-802,52"
OS263/2011,Mário,Implantação,27/10/11,,1,28/10/2011,IP Flex,4 Mbps,,Condominio Afonso Pena Flat Service Quality,,Implantação de Ip Flex temporário,"Ponta A: Av. Afonso Pena, 3761, Serra - BH/MG",Concluído,,27/10/2011,"1.563,50","125,00",,"1.688,50",,,,"0,00",,"1.688,50"
OS264/2011,Mário,Implantação,27/10/11,,25,21/11/2011,EILD,5 Mbps,,GLOBAL CROSSING COMUNICAÇÕES DO BRASIL LTDA,SITA SOC. CORRET. DE CÂMBIO E VALS. MOBILS. S/A,Implantação de EILD 5 Mbps,"Ponta A: Av. Brasil, 1438, Sl 604 - Belo Horizonte/ Ponta B: Rua Rio Grande do Norte, 988 - Belo Horizonte/MG",Concluído,,21/11/2011,"5.197,24","565,00","4.959,15","10.721,39","5.034,97","565,00","5.187,20","10.787,17",,"-65,78"
OS265/2011,Mário,Implantação,28/10/11,,7,04/11/2011,,,,UNIMED,,Implantação de infra a pedido da Unimed,"Rua dos Inconfidentes, 44, Funcionários - BH/MG",Concluído,,08/11/2011,,,,"0,00",,,,"0,00",,"0,00"
OS266/2011,Mário,Implantação,03/11/11,,25,30/11/2011,EILD,5 Mbps,,GLOBAL CROSSING COMUNICAÇÕES DO BRASIL LTDA,CORRETORA RUY LAGE,Implantação de EILD 5 Mbps,"Ponta A: Av. Brasil, 1438, Sl 604, Funcionários / Ponta B:  Av. Afonso Pena, 2484, Funcionários",Concluído,José Fernando - Previsão 25/11/2011,24/11/2011,"2.949,61","420,00","2.301,10","5.670,71","2.849,00","420,00","2.012,00","5.281,00",,"389,71"
OS267/2011,Ruan,Expansão,03/11/11,,1,03/11/2011,,,,Telbrax,,Implantação de dutos na Savassi - Geral,Praça Digo de Vasconcelos,Concluído,,03/11/2011,,,,"171.963,12",,,,"0,00",,"171.963,12"
OS268/2011,Ruan,Implantação,03/11/11,,1,03/11/2011,,,,Algar Telecom,,Fornecimento de dutos p/ Algar na Savassi,Praça Digo de Vasconcelos,Concluído,,03/11/2011,,,,"110.000,00",,,,"0,00",,"110.000,00"
OS269/2011,Ruan,Implantação,03/11/11,,1,03/11/2011,,,,Prodabel,,Fornecimento de dutos p/ Prodabel na Savassi,Praça Digo de Vasconcelos,Concluído,,03/11/2011,,,,"25.000,00",,,,"0,00",,"25.000,00"
OS270/2011,Ruan,Implantação,03/11/11,,1,03/11/2011,,,,Embratel,,Troca de dutos com a Embratel na Savassi,Praça Digo de Vasconcelos,Concluído,,03/11/2011,,,,"0,00",,,,"0,00",,"0,00"
OS271/2011,Pedro,Manutenção,03/11/11,,1,03/11/2011,,,,,,Redisposição de cabo,Rua Itapagipe,Concluído,,03/11/2011,,,,"0,00",,,"483,12","483,12",,"-483,12"
OS272/2011,Pedro,Manutenção,03/11/11,,1,03/11/2011,,,,,,Acidente de rede Av. Cristóvão Chara,Av. Cristóvão Chara,Concluído,,03/11/2011,,,,"0,00",,,"672,00","672,00",,"-672,00"
OS273/2011,Ruan,Expansão,03/11/11,,13,16/11/2011,,,,Telbrax,,Canalização da Rua Antônio de Albuquerque,Rua Antônio de Albuquerque entre Rua Sergipe e Rua Alagoas,Concluído,,20/04/2012,"2.840,00","0,00","15.045,00","17.885,00","1.200,00","0,00","20.206,00","21.406,00",,"-3.521,00"
OS274/2011,Wendell,Implantação,03/11/11,,1,04/11/2011,Connect Flex,20 Mpbs,,Telbrax,Transit,Implantação de Connect Flex 20 Mbps,"Ponta A: Rua Rio Grande do Norte, 726, Funcionários/ Ponta B: Rua Pirapetinga - POP SRA",Concluído,,07/11/2011,"1.646,70","370,00","652,75","2.669,45","1.872,96","370,00","528,00","2.770,96",,"-101,51"
OS275/2011,Mário,Implantação,04/11/11,,25,29/11/2011,EILD,15 Mbps,,CTBC,TRANSIT DO BRASIL S.A.,Implantação EILD 5 Mbps,"Ponta A: RUA RIO GRANDE DO NORTE, 726 - SALA 201 - FUNCIONÁRIOS / Ponta B: AV. DO CONTORNO, 5351 - 16º ANDAR - CRUZEIRO",Cancelada,,18/11/2011,"3.810,41","390,00","3.088,00","7.288,41","3.790,66","390,00","825,00","5.005,66",,"2.282,75"
OS276/2011,Mário,Implantação,07/11/11,,25,02/12/2011,EILD,10 Mbps,,Global Crossing,H H PICCHIONI S/A CORRETORA DE CAMBIO E VAL. MOB,Implantação EILD 10 Mbps,"Ponta A: Av. Brasil, 1438 sl 604- BH/MG - Ponta B: Av. Bernardo Monteiro, 1539, BH/MG",Concluído,,18/11/2011,"517,32","380,00","0,00","897,32",,,,"0,00",,"897,32"
OS277/2011,Mário,Manutenção,09/11/11,,2,11/11/2011,,,,Telbrax,,Rompimento devido a queima do cabo causado pela rede metálica da Oi,"Rua serro, 484, Bonfim ( Próximo ao cemitério do Bonfim)",Concluído,,11/11/2011,,,,"0,00","100,00",,"666,60","766,60",,"-766,60"
OS278/2011,Mário,Implantação,01/11/11,,,01/11/2011,IP Flex,2 Mbps,,Cultura Inglesa MG Ltda,,Implantação IP Flex 2 Mbps,"Ponta A: Rua  Jornalista Djalma Andrade, 46, 4º andar, Belvedre - BH/MG",Concluído,José Fernando - Previsão 25/11/2011,23/11/2011,"2.511,63","515,00","515,40","3.542,03",,,,"0,00",,"3.542,03"
OS279/2011,Mário,Cancelamento,11/11/11,,,11/11/2011,IP Flex,4 Mbps,,Condominio Afonso Pena Flat Service Quality,,Cancelamento de link temporário de IP Flex 4 Mbps,"Ponta A: Av. Afonso Pena, 3761 - Serra",Concluído,,11/11/2011,,,,"0,00",,,,"0,00",,"0,00"
OS280/2011,Mário,Implantação,16/11/11,,12,28/11/2011,IP Flex,10 Mbps,,Interaction Design Association - Belo Horizonte,,Implantação de IP Flex temporário de 10 Mbps (Evento),"Ponta A: Rua Diamantina, 563, lagoinha, BH/MG ",Concluído,Pendência de definição de local para equipamentos do cliente,30/11/2011,"2.770,91","420,00","348,50","3.539,41","362,74","420,00","302,50","1.085,24",,"2.454,17"
OS281/2011,Mário,Implantação,16/11/11,,2,18/11/2011,EILD,5 Mbps,,Global Crossing,Geraldo Corrêa Corr. de Val. Mobiliários S/A ,Implantação de EILD 5 Mbps,"Ponta A:Av. Brasil, 1438 sl. 604  / Ponta B: Rua Josafá Belo,234  - Cidade Jardim",Concluído,,18/11/2011,,,,"0,00",,,,"0,00",,"0,00"
OS282/2011,Mário,Implantação,18/11/11,,10,25/11/2011,Fibra Apagada,,,Grupo Master Brasil,,Implantação de fibra Apagada,"Ponta A: Rua Espírito Santo, 616, Centro - BH-MG / Ponta B: Av. Raja Gabáglia, 1781, luxemburgo - BH/MG",Concluído,J.F. - Previsão lançamento interno 22/11,30/11/2011,"644,46","520,00","319,50","1.483,96","622,14","520,00","480,00","1.622,14",,"-138,18"
OS283/2011,Mário,Implantação,17/11/11,,18,05/12/2011,Connect Flex Multi,10 Mbps,,Axial,,Implantação de Connect Flex 10 Mbps,"Ponta A: Rua Emídio Quites, 100 , Saudade - Itabiriro/MG/ Ponta B: Av. Bernardo Monteiro, 1472, Funcionários - BH/MG",Concluído,"Pendência Wiband, melhoria da rede",28/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS284/2011,Mário,Implantação,17/11/11,,82,07/02/2012,Connect Flex Multi,10 Mbps,,Axial,,Implantação de Connect Flex 10 Mbps,"Ponta A: Praça Barão de Saramenha, Saramenha - Ouro Preto/MG/ Ponta B: Av. Bernardo Monteiro, 1472, Funcionários - BH/MG",Concluído,"Pendência Wiband, melhoria da rede",12/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS285/2011,Mário,Implantação,17/11/11,,129,25/03/2012,Connect Flex Multi,20 Mbps,,Axial,,Implantação de Connect Flex 20 Mbps,"Ponta A: Av. Governador Valadares, 500, Centro - Betim/MG / Ponta B: Av. Bernardo Monteiro, 1472, Funcionários - BH/MG",Concluído,,23/03/2012,"9.896,68","530,00","1.953,00","12.379,68","8.080,43","530,00","2.112,00","10.722,43",,"1.657,25"
OS286/2011,Mário,Implantação,17/11/11,,18,05/12/2011,Connect Flex Multi,20 Mbps,,Axial,,Implantação de Connect Flex 20 Mbps,"Ponta A: Av. Barbacena, 653, Barro Preto - BH/MG / Ponta B: Av. Bernardo Monteiro, 1472, Funcionários - BH/MG",Concluído,Wendell,01/12/2011,"1.727,24","420,00","219,60","2.366,84",,,,"0,00",,"2.366,84"
OS287/2011,Mário,Alteração de Serviço,18/11/11,,6,24/11/2011,Connect Flex Multi,80 Mbps,,Axial,,Alteração de velocidade de 35 Mbps para 80 Mbps,"Pona A: Av. Bernardo Monteiro, 1472, Funcionários - BH/MG",Concluído,Rubens,24/11/2011,,,,"0,00",,,,"0,00",,"0,00"
OS288/2011,Pedro,Manutenção,18/11/11,,0,18/11/2011,,,,,,Acidente Av. Barão Homem  de Mello,Av. Barão Homem de Mello  (Abaixo do EPA),Concluído,,18/11/2011,"171,28","0,00","520,00","691,28","171,28",,"520,00","691,28",,"0,00"
OS289/2011,Mário,Implantação,22/11/11,,,20/12/2011,IP Flex,4 Mbps,,Sysmap,,Implantação Ip Flex 4 Mbps Matriz SP,"Ponta A: Rua Desembargador Eliseu Guilherme, 200, 11º andar, Paraíso São Paulo/SP",Concluído,,15/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS290/2011,Mário,Implantação,23/11/11,,9,02/12/2011,IP Flex,5 Mbps,,Net Service,,implantação de IP Flex 5 Mbps,"Ponta A: R. Padre Rolim, 491 - Santa Efigenia, BH/MG
",Concluído,,28/11/2011,,,,"0,00",,,,"0,00",,"0,00"
OS291/2011,Mário,Alteração de Serviço,25/11/11,,0,25/11/2011,IP Flex,3 Mbps,,Intelle Comunicações do Brasil Ltda,,Up grade de link para 3 Mbps,"Ponta A: Rua Pirapetinga,322 , sl 309, serra - BH/MG",Concluído,,28/11/2011,,,,"0,00",,,,"0,00",,"0,00"
OS292/2011,Pedro,Manutenção,25/11/11,,0,25/11/2011,,,,Telbrax,,Fechamento Preventiva Amazonas,Av. Amazonas,Concluído,,25/11/2011,,,,"0,00","146,30",,"1.107,00","1.253,30",,"-1.253,30"
OS293/2011,Mário,Manutenção,25/11/11,,0,25/11/2011,,,,Telbrax,,Levantamento caixa centro,,Concluído,,25/11/2011,,,,"0,00",,,"600,00","600,00",,"-600,00"
OS294/2011,Pedro,Manutenção,25/11/11,,0,25/11/2011,,,,Telbrax,,Manutenção - Alma Viva,Alma Viva,Concluído,,25/11/2011,,,,"0,00","36,07",,"500,00","536,07",,"-536,07"
OS295/2011,Pedro,Manutenção,25/11/11,,0,25/11/2011,,,,Telbrax,,Rompimento Barão Homem de Mello,Barão Homem de Mello com Mário Werneck,Concluído,,25/11/2011,,,,"0,00","418,60",,"250,00","668,60",,"-668,60"
OS296/2011,Pedro,Manutenção,25/11/11,,0,25/11/2011,,,,Telbrax,,Troca de Poste e reinstalação de cabo existente,"Rua Pouso Alegre , 1849 e 2317",Concluído,,25/11/2011,,,,"0,00","30,06",,"250,00","280,06",,"-280,06"
OS297/2011,Pedro,Alteração de Serviço,28/11/11,,0,25/11/2011,IP Flex,5 Mbps,,Axial,,Alteração de velocidade de 3 Mbps para 5 Mbps,"Av. Bernardo Monteiro, 1472 - Funcionários",Concluído,,28/11/2011,,,,"0,00",,,,"0,00",,"0,00"
OS298/2011,Mário,Alteração de Serviço,29/11/11,,1,25/11/2011,Connect Flex,5 Mbps,,Net Service,,Upgrade temporário de 3 Mbps para 5 Mbps,"Ponta A: Rua Padre Rolim, 491, Sta Efigênia/ Ponta B: Rua Major Barbosa , 166, BH/MG",Concluído,,13/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS299/2011,Mário,Implantação,30/11/11,,30,30/12/2011,,,,Cimcorp,MGS,Construção de rede subterrânea para rota Principal passando pela rua da Bahia,"Av. Alvares Cabral, 200(MGS)",Concluído,,21/03/2012,"2.637,75",,"15.215,00","17.852,75","870,00",,"18.684,00","19.554,00",,"-1.701,25"
OS300/2011,Mário,Implantação,30/11/11,,30,30/12/2011,,,,Cimcorp,MGS,Construção de rede subterrânea,"Rua Rio de Janeiro, 1212/1214",Concluído,,11/04/2012,"4191,5",,"24.120,00","28.311,50","2.084,00",,"34.377,00","36.461,00",,"-8.149,50"
OS301/2011,Mário,Implantação,30/11/11,,30,30/12/2011,,,,Cimcorp,MGS,Construção de rede subterrânea - Rota Tomé de Souza,"Rua da Bahia, 2277 (Prodemge)",Concluído,,29/12/2011,,,,"0,00","53,95",,"1.216,00","1.269,95",,"-1.269,95"
OS302/2011,Mário,Implantação,30/11/11,,30,30/12/2011,,,,Telbrax,,Ampliação de capacidade de rota Palmares - Aeroporto,"Ampliação de capacidade de rota palmares - Aeroporto.                                             Ponta A: Rua José Francisco da Silva com República do Peru. Palmares - BHMG.                                        Ponta B: Rua Magalhães Penido com Rua dos Aeroviários, Aeroporto - BH/MG
",Concluído,,07/02/2012,"46.073,86","15.690,00","12.045,00","73.808,86","25.068,10",,"7.226,60","32.294,70",,"41.514,16"
OS303/2011,Mário,Implantação,30/11/11,,30,30/12/2011,Connect Flex,5 Mbps,,Pacto Administradora,,Implantação de connect Flex 5 Mbps,"Ponta A: Av. Luiz Paulo Franco, 421, Belvedere/Ponta B: Rua Timbiras, 638, Funcionários",Concluído,,11/01/2012,"2.615,04","780,00","1.390,60","4.785,64",,,,"0,00",,"4.785,64"
OS304/2011,Mário,Cancelamento,05/12/11,,1,06/12/2011,IP Flex,6 Mbps,,CIMCORP,,Cancelamento de link IP Flex da Cimcorp,"Ponta A: Rua Paraíba, 1323, 3º andar",Concluído,,05/12/2011,,,,"0,00",,,,"0,00",,"0,00"
OS305/2011,Mário,Cancelamento,05/12/11,,1,06/12/2011,IP Flex,10 Mbps,,Interaction Design,,Cancelamento de link IP Flex temporário (evento),"Ponta A: Rua Diamantina, 563, Lagoinha (Auditório - UNI-BH)",Concluído,,04/12/2011,,,,"0,00",,,,"0,00",,"0,00"
