#OS,Criado por,Tipo OS,Dt Criação,Viabilidade/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS032/2012,Mário,Fornecimento de Equipamento,27/01/2012,,0,26/01/2012,,,,Pacto Administradora,,OS para instalação de 2 roteadores um em cada ponta do cliente.," Ponta A: Av. Luiz Paulo Franco, 421 – Bairro Belvedere  - Cep 30320-570/Ponta B: Rua Timbiras, 638 – Funcionários – Cep – 30140-060",Concluído,,26/01/2012,"1535,4",,,"1.535,40","1534,4",,,"1.534,40",Ok,"1,00"
OS033/2012,Djalma,Manutenção,27/01/2012,,15,12/02/2012,Manutenção,,,Telbrax,,"Rearranjo de rede, devido troca de postes no local.",Rua Ulisses Camargo esquina de Rua Nova York - Bairro Petrolândia,Concluído,,14/02/2012,"18,6",,500,"518,60",,,260,"260,00",Ok,"258,60"
OS034/2012,Mário,Fornecimento de Equipamento,27/01/2012,,1,12/02/2012,,,,BMG,,Locação de 2 roteadores Cisco 1841 para o Banco BMG.,Cliente que vai decidir onde instalar,Concluído,,31/01/2012,1500,,,"1.500,00",1500,,,"1.500,00",Ok,"0,00"
OS035/2012,Djalma,Manutenção,27/01/2012,,,12/02/2012,Manutenção,,,Telbrax,,"Instalação de Optloop em emendas criadas, devido rompimento.","Rua Serro, esquina de Jaguarão e José Ildeu Gramiscelli",Concluído,,08/02/2012,"18,60",,"500,00","518,60",,,120,"120,00",Ok,"398,60"
OS036/2012,Djalma,Manutenção,27/01/2012,,,12/02/2012,Manutenção,,,Telbrax,,"Rearranjo de rede, devido troca de postes no local.",R. José Ribeiro Filho c/ Maria Cândida de Jesus - Bairro Ouro Preto,Concluído,,15/02/2012,"18,6",,500,"518,60",,,30,"30,00",Ok,"488,60"
OS037/2012,Djalma,Manutenção,27/01/20112,,,12/02/2012,Manutenção,,,Telbrax,,"Rearranjo de rede, devido troca de postes no local.","R. Diabase, entre R. Platina e R. Faial - Prado",Concluído,,15/02/2012,"18,6",,500,"518,60",,,0,"0,00",Incompleta,"518,60"
OS038/2012,Paulo,Implantação,30/01/20112,,0,31/01/2012,IP Flex,,/28,SuperBuy,,Implantação de IP Flex de 5 Mbps para no datacenter Telbrax,"Ponta A: Rua Pirapetinga, 322/309 , Serra - BH/MG",Concluído,,28/01/2012,"778,00",,,"778,00",,,,"0,00",Incompleta,"778,00"
OS039/2012,Mário,Alteração de serviço,01/02/2012,,0,01/02/2012,Connect Flex,10 Mbps,,Banco BMG,,Up grade do circuito BHE-03-0016-02-004 de 4 Mbps para 10 Mbps.,"Ponta A: Av. Álvares Cabral, 1707 / Ponta B: Rua Matias Cardoso",Concluído,,01/02/2012,"0,00","0,00",0,"0,00",,,,"0,00",Ok,"0,00"
OS040/2012,Mário,Implantação,01/02/2012,,1,02/02/2012,Connect Flex,600 Mbps,,Valenet,,Implantação de Connect Flex entre POP Valenet Quality e POP Valenet Serra do Curral,Ponta A: POP Valenet (Hotel Quality)/ Ponta B: POP Valenet Serra do Curral,Concluído,,02/02/2012,"1.534,40",,,"1.534,40","1.534,40",,,"1.534,40",Ok,"0,00"
OS041/2012,Djalma,Implantação,02/02/20112,,5,07/02/20112,Fibra Apagada,,,Compuline,Telefonica,Implantação de fibra apagada entre POP Serra e Telefônica,"Ponta A: POP Serra/ Ponta B: Rua Cláudio Manuel, 69, Funcionários - BH/MG",Concluído,,09/02/2012,"2.303,32","405,00","369,60","3.077,92","1.336,32","405,00","558,11","2.299,43",Ok,"778,49"
