#OS,Criado por,Tipo OS,Dt Criação,Viabilidade/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS159/2012,Ruan,Infraestrutura,13/04/2012,,15,30/04/2012,,,,Telbrax,Telbrax,Adequação do Almoxarifado Milionários,"Rua Santa Alexandrina, 563 - Milionários - BH - MG",Em Execução,Falta instalação do portão e fechamento do galpão  (Ruan),,"13.562,97",,,"13.562,97",,,,"0,00",-,"13.562,97"
OS160/2012,Djalma,Mudança de endereço,16/04/2012,,20,06/05/2012,,,,Unimed,Atento,Mudança de endereço da ponta B fibra apagada designação BHE-00-0001-00-007B,"Essa OS é complementar a OS321/2011, foi executado a virada do circuito bhe-00-0001-00-007 inicialmente, Unimed Sede, Av. Francisco Sales 1483 e Unimed Atento, Rua Jaceguai, 220, rota redundante.",Concluído,,26/04/2012,"68,62","1.125,00","21,30","1.214,92",,,,"0,00",Incompleta,"1.214,92"
OS161/2012,Mário,Implantação,16/04/2012,,2,18/04/2012,IP Flex,10 Mbps,,Embraer,,Implantação de IP Flex para atendimento da Embraer no BHTEC,"Ponta A: Rua Professor José Vieira de Mendonça, nº770, salas 206 a 209, 403 a 403ª, 4º abdar, Engenho Nogueira - BH/MG",Concluído,,24/04/2012,"763,90",,,"763,90","803,10",,,"803,10",Ok,"-39,20"
OS162/2012,Djalma,Expansão,17/04/2012,,,17/05/2012,,,,Telbrax Ltda,,Implantação de rede - Expansão de rota POP SRA - POP SVS,"Rua Pirapetinga, 322 até a Av. do Contorno, 4727",Em Execução,José Fernando,,"24.359,20","5.075,00","6.880,00","36.314,20",,,,"0,00",-,"36.314,20"
OS163/2012,Mário,Implantação,17/04/2012,,6,23/04/2012,Ip Flex,6 Mbps,,Gran Viver,,Implantação de IP Flex 6 Mbps,"Ponta A: Av. Bernardo Guimarães, 891, Funcionários - Belo Horizonte - MG",Concluído,,20/04/2012,"1.329,79","395,00","72,00","1.796,79",,,,"0,00",Incompleta,"1.796,79"
OS164/2012,Djalma,Manutenção,17/04/2012,,,17/04/2012,,,,Telbrax Ltda / Axial,,Acionamento emergencial,"Rompimento cabo Av. Marco Túlio Isaac, próximo a via Expressa de Contagem (Atendimento Axial)",Concluído,,17/04/2012,"1.080,20","1.560,00",,"2.640,20",,,,"0,00",Incompleta,"2.640,20"
OS165/2012,Djalma,Manutenção,17/04/2012,,,18/04/2012,,,,Telbrax Ltda,,"Rearranjo de rede, devido troca de postes no local.","Rearranjo de rede devido a rompimento na Av. Marco Túlio Isaac, próximo a via expressa em Betim",Concluído,,19/04/2012,"140,60",,"770,00","910,60","256,40",,"695,00","951,40",Ok,"-40,80"
OS166/2012,Mário,Alteração de serviço,19/04/2012,,10,29/04/2012,IP FLex (Porta IP),10 Mbps,,Intelle,,OS para UP grade de circuito BHE-0042-01-002 para 10 Mbps (porta IP),"Ponta A: Rua Pirapetinga, 322 - Serra (POP-SRA  Telbrax)/Ponta B: 'Rua Pirapetinga, 322 - Serra (POP-SRA  Cemig Telecom)",Concluído,,29/04/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS167/2012,Mário,Implantação,19/04/2012,,10,29/04/2012,Co-location,2 U´s,,Intelle,,OS para implantação de Co-location 2 U´s,"Rua Pirapetinga, 322, sl 309",Em Execução,CGR - Falta equipamento que será fornecido pelo Cliente (Switch e Router),,"0,00","0,00","0,00","0,00",,,,"0,00",-,"0,00"
OS168/2012,Djalma,Expansão,18/04/2012,,,10/05/2012,,,,Telbrax Ltda,,"Construção de rede de dutos, Rua Paracatú e Av. Augusto de Lima","Rua Paracatú, da rua Goitacazes até Av Augusto de Lima e Av. Augusto de Lima, da rua Paracatú até R. Juiz de Fora",Aprovação,Diretoria Telbrax,,"4.303,60",,"27.602,00","31.905,60",,,,"0,00",-,"31.905,60"
OS169/2012,Djalma,Expansão,18/04/2012,,,10/05/2012,,,,Telbrax Ltda,,"Construção de rede de dutos, Rua Álvares Maciel e Av. Bernardo Monteiro, Alvará 014111, SMARU 002/2011","Rua Álvares Maciel, da rua Ceará até Av Bernardo Monteiro e Av. Bernardo Monteiro, Av. Francisco Sales até Av. do Contorno",Aprovação,Diretoria Telbrax,,"8.950,00",,"42.322,53","51.272,53",,,,"0,00",-,"51.272,53"
OS170/2012,Djalma,Expansão,18/04/2012,,,10/05/2012,,,,Telbrax Ltda,,"Construção de rede de dutos, Rua Antônio de Albuquerque, Av. do Contorno e Rua Levindo Lopes, Alvará 014311, SMARU 002/2011","Travessia na Av. do Contorno, dutos na R. Levindo Lopes da Contorno até a Antônio de Albuquerque e R. Antônio de Albuquerque da Levindo Lopes até Rua Sergipe.",Aprovação,Diretoria Telbrax,,"11.713,84",,"52.832,00","64.545,84",,,,"0,00",-,"64.545,84"
OS171/2012,Mário,Implantação,19/04/2012,,10,28/04/2012,Cross- Connect,,,Intelle,,Implantação de Cross Connect UTP até 10 Mbps,"Ponta A: Rua Pirapetinga, 322 - Serra ",Concluído,,20/04/2012,"17,70",,,"17,70","17,70",,,"17,70",Ok,"0,00"
OS172/2012,Ruan,Expansão,19/04/2012,,10,29/04/2012,,,,Telbrax,,Atendimento ao Almoxarifado Milionários,"Rua Santa Alexandrina, 563 - Bairro Milionários - MG",Concluído,,02/05/2012,"2.960,71","725,00","1.200,00","4.885,71","1.970,10","725,00","1.710,00","4.405,10",Ok,"480,61"
OS173/2012,Mário,Alteração de serviço,20/04/2012,,1,20/04/2012,IP Flex,10 Mbps,,Hospital Vila da Serra,,OS para Upgrade  de IP Flex para 10 Mbps,"Rua Alameda da Serra, 499, Vila da Serra - Nova Lima - MG",Concluído,,20/04/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS174/2012,Mário,Implantação,20/04/2012,,5,25/04/2012,EILD,300 Mbps,,Global Crossing,Valenet ,OS para implantação de EILD 300 Mbps,"Ponta A: Av. Brasil, 1438, sl 604, Belo Horizonte - MG/Ponta B: Av. Afonso Pena, 3761 -Belo Horizonte - MG",Concluído,,23/04/2012,"26,83","20,00",,"46,83",,,,"0,00",Incompleta,"46,83"
OS175/2012,Max,Serviços técnicos,20/04/2012,,2,23/04/2012,,,/22,Telbrax,,Troca Router M7I instalado provisoriamente(OS340/2011) por um Router MX5 Definitivo,"Av. Alfredo Egídio de Souza Aranha, 75 Cj. 62, Vila Cruzeiro - 04726-170 - São Paulo, SP",Concluído,,,"900,00",,"643,53","1.543,53","900,00",,"643,53","1.543,53",Ok,"0,00"
OS176/2012,Mário,Retirada,20/04/2012,,3,23/04/2012,,,,Net Service,,Os para retirada de roteador,,Concluído,,23/04/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS177/2012,Max,Disponibilização de equipamento,23/04/2012,,7,27/04/2012,,,,Sambatech,,Disponibilização de um EDD-Datacom-2104 de backup para a Sambatech-SP,"Av. Paulista, 900 - São Paulo - SP",Concluído,,28/03/2012,"1.011,00",,,"1.011,00",,,,"0,00",Incompleta,"1.011,00"
OS178/2012,Djalma,Manutenção,23/04/2012,,,23/04/2012,,,,Telbrax,,Rearranjo de rede devido a troca de poste no local,"Av. Maracanã, 933, próximo a Marco Túlio Isaac - Bairro Petrolândia",Concluído,,24/04/2012,"20,00",,"327,00","347,00","93,45",,"250,00","343,45",Ok,"3,55"
OS179/2012,Djalma,Manutenção,23/04/2012,,,23/04/2012,,,,Telbrax,,Rearranjo de rede devido a troca de poste no local,Av. Marco Túlio Isaac - Bairro Nova Baden,Concluído,,24/04/2012,"20,00",,"327,00","347,00",,,,"0,00",Incompleta,"347,00"
OS180/2012,Mário,Cancelamento,23/04/2012,,,27/04/2012,IP Flex,2 Mbps,,Banco Pottencial,,OS para cancelamento do IP Flex BHE-07-0037-01-004,"Ponta A: Rua Rio Grande do Norte, 6947, Funcionários - Belo Horizonte - MG",Concluído,,27/04/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS181/2012,Mário,Alteração de serviço,23/04/2012,,,27/04/2012,Connect Flex,5 Mbps,,Banco Pottencial,,OS para up grade de circuito BHE-01-0037-02-001,"Ponta A: Av. Afonso Pena, 4100, 12º andar/Ponta B: Rua Espírito Santo, 616, Centro - Belo Horizonte ",Concluído,,27/04/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS182/2012,Mário,Implantação,23/04/2012,,2,25/04/2012,IP FLEX,10 Mbps,/27,Unimed,,OS para implantação de IP Flex 10 Mbps,"Ponta A: Francisco Sales, 1438, St Efigênia, Belo Horizonte - MG",Concluído,,24/04/2012,"1.945,20",,,"1.945,20","1.945,20",,,"1.945,20",Ok,"0,00"
OS183/2012,Djalma,Manutenção,24/04/2012,,,25/04/2012,,,,Telbrax,,Rearranjo de rede devido a troca de poste no local,"Rua Niquelina, 895 - Bairro Saudade",Concluído,,10/05/2012,"20,00",,"327,00","347,00","98,55",,"372,00","470,55",Ok,"-123,55"
OS184/2012,Djalma,Manutenção,24/04/2012,,,25/04/2012,,,,Telbrax,,Rearranjo de rede devido a troca de poste no local,"Rua Jequiriçá, 357, bairro Renascença",Concluído,,10/05/2012,"20,00",,"327,00","347,00","0,00","0,00","0,00","0,00",Incompleta,"347,00"
OS185/2012,Djalma,Manutenção,24/04/2012,,,25/04/2012,,,,Telbrax,,Rearranjo de rede devido a troca de poste no local,"Rua José Francisco da Silva, 371, bairro Palmares",Concluído,,10/05/2012,"20,00",,"327,00","347,00","0,00","0,00","0,00","0,00",Incompleta,"347,00"
OS186/2012,Mário,Mudança de endereço,25/04/2012,,7,02/05/2012,Fibra Apagada,,,Unimed,,Mudança de endereço  da ponta B da designação BHE-02-0001-02-013,"Ponta B(atual): Rua Maranhão, 425, Sta Efigênia/ Ponta(novo endereço): Rua Padre Marinho, 329, Sta Efigênia (Novo endereço SESMT)",Cancelada,,14/05/2012,"754,49","380,00","547,70","1.682,19","297,48","380,00","274,98","952,46",-,"729,73"
OS187/2012,Djalma,Manutenção,26/04/2012,,,26/004/2012,,,,Telbrax Ltda,,Rearranjo de rede devido a troca de poste no local,"Rua Reginaldo Souza Lima, esquina com Rua Limeira até o número 774 - Bairro Fonte Grande ",Concluído,,27/04/2012,"173,30",,"327,00","500,30",,,"250,00","250,00",Ok,"250,30"
OS188/2012,Mário,Implantação,27/04/2012,,25,22/05/2012,IP Flex DUO,40 Mbps,,SMC (Sociedade Mineira de Cultura),,IP Flex DUO 40 Mbps,"Av. Francisco Sales, 540, Floresta - Belo Horizonte - MG",Concluído,Ativação,25/05/2012,"13.094,56","2.625,00","1.564,50","17.284,06","3.904,35","2.625,00","4.649,13","11.178,48",Ok,"6.105,58"
OS189/2012,Mário,Implantação,27/04/2012,,25,22/05/2012,Connect Flex Multi,1 Mbps,,Hermes Pardini,,Connect Flex Unidade Santa Inês,"Av. Contagem, 1524, Santa Inês - Belo Horizonte",Concluído,Guilherme Jardin / Bernardo,10/05/2012,"1.731,13","75,00",,"1.806,13",,,,"0,00",Incompleta,"1.806,13"
OS190/2012,Djalma,Manutenção,02/05/2012,,,25/04/2012,,,,Cimcorp - Hermes Pardini,,Acionamento emergencial,"Rompimento cabo Rua Reginaldo Lima de Souza, bairro Fonte Grande",Concluído,,25/04/2012,"211,60","1.235,00",,"1.446,60",,,,"0,00",Incompleta,"1.446,60"
OS191/2012,Djalma,Manutenção,02/05/2012,,,28/04/2012,,,,Rota Tronco BPT - CEM,,Acionamento emergencial,"Rompimento cabo Rua Osório de Morais, atrás da Cemig - Cidade Industrial",Concluído,,28/04/2012,"286,92","3.300,00",,"3.586,92",,,,"0,00",Incompleta,"3.586,92"
OS192/2012,Djalma,Manutenção,02/05/2012,,,05/05/2012,,,,Telbrax,,Rearranjo de rede devido acidente no local e inserido poste novo,"Rua Osório de Morais, atrás da Cemig Cidade Industrial",Em Execução,José Fernando,,"64,45",,"327,00","391,45",,,,"0,00",-,"391,45"
OS193/2012,Djalma,Manutenção,02/05/2012,,,05/05/2012,,,,Telbrax,,Rearranjo de rede devido troca de postes no local,Av. Francisco Firmo de Matos quase esquina com via lateral rodovia BR381 - próximo Sociedade hípica de Contagem,Concluído,,10/05/2012,"64,45",,"327,00","391,45","29,35",,"290,00","319,35",Ok,"72,10"
OS194/2012,Mário,Implantação,03/05/2012,,25,28/05/2012,EILD,2 Mbps,,Intelig,Atento,Implantação de EILD 2 Mbps,"Ponta A: Rua Jaceguai, 254, Bairro Prado  / Ponta B: Rua Geraldo Teixeira da Costa, 69 - Floresta BH/MG",Em Execução,,,,"320,00",,"320,00",,,,"0,00",-,"320,00"
OS195/2012,Mário,Implantação,03/05/2012,,25,28/05/2012,EILD,2 Mbps,,Intelig,Atento,Implantação de EILD 2 Mbps,"Ponta A: Rua Jaceguai, 254, Bairro Prado  / Ponta B: Rua Geraldo Teixeira da Costa, 69 - Floresta BH/MG",Em Execução,,,,,,"0,00",,,,"0,00",-,"0,00"
OS196/2012,Mário,Implantação,03/05/2012,,25,28/05/2012,EILD,2 Mbps,,Intelig,Atento,Implantação de EILD 2 Mbps,"Ponta A: Rua Jaceguai, 254, Bairro Prado  / Ponta B: Rua Geraldo Teixeira da Costa, 69 - Floresta BH/MG",Em Execução,,,,,,"0,00",,,,"0,00",-,"0,00"
OS197/2012,Mário,Implantação,03/05/2012,,25,28/05/2012,EILD,2 Mbps,,Intelig,Atento,Implantação de EILD 2 Mbps,"Ponta A: Rua Jaceguai, 254, Bairro Prado  / Ponta B: Rua Geraldo Teixeira da Costa, 69 - Floresta BH/MG",Em Execução,,,"7.614,24",,,"7.614,24",,,,"0,00",-,"7.614,24"
OS198/2012,Mário,Implantação,03/05/2012,,2,04/05/2012,IP Flex,10 Mbps,,BHTEC,Sambatech,Implantação de IP Flex BH TEC 10 Mbps,"Ponta A: Rua Professor José Vieira, nº770, 5º andar, bairro Engenho Nogueira - BH/MG",Concluído,,03/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS199/2012,Bruno,Implantação,03/05/2012,,5,08/05/2012,IP Flex,50 Mbps,,Telbrax,,Implantação de IP Flex para a Telbrax na Unotel de 50 Mbps,"Ponta A: Rua Professor Jamil Anderaós, 119, Vila Cruzeiro - 04726-170 - São Paulo, SP",Concluído,,,,,,"0,00",,,,"0,00",Ok,"0,00"
OS200/2012,Mário,Alteração de Serviço,03/05/2512,,1,04/05/2012,IP Flex,6 Mbps,,Cultura Inglesa,,Upgrade de circuito BHE-05-0060-01-001,"Ponta A: Rua Jornalista Djalma de Andrade, 46, Belvedere - Belo Horizonte - MG",Concluído,,15/05/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS201/2012,Mário,Alteração de Serviço,03/05/2012,,1,04/05/2012,Connect Flex,6 Mbps,,Cultura Inglesa,,Downgrade de circuito BHE-0060-02-002,"Ponta A:Rua Jornalista Djalma de Andrade, 46, Belvedere - Belo Horizonte - MG/ Ponta B: Rua Aquiles Lobo, 111, Floresta - BH/MG",Concluído,,15/05/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS202/2012,Djalma,Manutenção,03/05/2012,,,05/05/2012,,,,Telbrax Ltda,,Rearranjo de rede devido troca de postes no local,"Rua Heitor Menin, 115 esquina com Rua Vitorino Magnavaca - Buritis",Concluído,,03/05/2012,"115,55",,"415,00","530,55","40,40","0,00","460,00","500,40",Ok,"30,15"
OS203/2012,Mário,Implantação,07/05/2012,,25,01/06/2012,IP Flex,5 Mbps,16,SPMINFOR,,Implantação de IP Flex no data center da SPMINFO,"Rua Bernardo Guimarães, 1020, lj 14, Funcionários, Belo Horizonte - MG",Concluído,,25/05/2012,"1.910,49","395,00","726,30","3.031,79",,,,"0,00",Incompleta,"3.031,79"
OS204/2012,Djalma,Manutenção,07/05/2012,,,10/05/2012,,,,Telbrax Ltda,,Rearranjo de rede devido troca de postes no local,"Rua Santa Catarina, quase esquina com Rua Prof. Ant. Aleixo",Concluído,,15/05/2012,"91,35",,"327,00","418,35",,,,"0,00",Incompleta,"418,35"
OS205/2012,Pedro,Manutenção,05/05/2012,,,05/05/2012,,,,Telbrax Ltda,,Atendimento de cabo rompido TIM Xangrila,"Av. Xangrilá, POP TIM e Rua Senna Madureira, 600",Concluído,,05/05/2012,"1.544,60","1.440,00","470,00","3.454,60","534,00","0,00","470,00","1.004,00",Ok,"2.450,60"
OS206/2012,Djalma,Manutenção,07/05/2012,,,10/05/2012,,,,Telbrax Ltda,,Rearranjo de rede devido a rompimento no local,"Av. Xangrilá, POP TIM e Rua Senna Madureira, 600",Concluído,José Fernando,28/05/2012,"318,10",,"264,00","582,10",,,,"0,00",Incompleta,"582,10"
OS207/2012,Mário,Alteração de Serviço,08/05/2012,,1,09/05/2012,IP Flex,7 Mbps,,Engineering (Dynpro),,Upgrade de circuito bhe-02-0014-01-001,"Rua Bernardo Guimarães, 646, 1º andar cj 101, Funcionários - BH/MG",Concluído,,09/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS208/2012,Mário,Implantação,08/05/2012,,1,08/05/2012,EILD Lógico,1 Mbps,,Algar Telecom,Loja Elétrica,Interconexão lógica no POP Asteca (VLAN 193),"Av. do Contorno, 5351, Bairro Cruzeiro - BH/MG",Concluído,,08/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS209/2012,Djalma,Retirada,09/05/2012,,,10/05/2012,,,,Telbrax Ltda,,"Retirada de equipamentos 16E1 nos POP's BPT, BLV e SVS","POP's BLV, BPT e SVS",Concluído,,09/05/2012,,"500,00",,"500,00",,,,"0,00",Ok,"500,00"
OS210/2012,Mário,Implantação,10/05/2012,,1,14/05/2012,IP FLEX,2/20Mbps,,BHTEC,Takenet,Implantação de IP Flex 2 Mbps BHTEC Takenet,"Ponta A: Rua Professor José Vieira, nº770, sala 412, 4º andar, bairro Engenho Nogueira - BH/MG",Concluído,,11/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS211/2012,Mário,Implantação ,10/05/2012,,1,14/05/2012,IP FLEX,1/10 Mbps,,BHTEC,IEBT,Implantação de IP Flex 1 Mbps de upload e 10 download,"Ponta A: Rua Professor José Vieira, nº770, sala 411, 4º andar, bairro Engenho Nogueira - BH/MG",Concluído,,11/05/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS212/2012,Mário,Alteração de Serviço,15/05/2012,,1,16/05/2012,Connect Flex,6 Mbos,,Cultura Inglesa,,Alteração de velocidade de 10Mbps para 6 Mbps ,"Ponta A:Rua Jornalista Djalma de Andrade, 46, Belvedere - Belo Horizonte - MG/ Ponta B: Rua Aquiles Lobo, 111, Floresta - BH/MG",Concluído,,15/05/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS213/2012,Mário,Alteração de Serviço,15/05/2012,,1,16/05/2012,IP Flex,5 Mbps,,Cultura Inglesa,,Alteração de velocidade de 2 Mbps para 5 Mbps,"Ponta A:Rua Jornalista Djalma de Andrade, 46, Belvedere - Belo Horizonte - MG",Concluído,,15/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS214/2012,Jan,Retirada de equipamento,15/05/2012,,30,15/06/2012,Connect Flex,10Mbps,,Cimcorp - MGS,MGS,Retirada de equipamento,Rua Rio de Janeiro 1214 e Edifício Tratex,Planejamento,Na fila para distribuição de planejamento,,,,,"0,00",,,,"0,00",-,"0,00"
OS215/2012,Mário,Implantação,16/05/2012,,2,18/05/2012,IP Flex,1/10 Mbps,,BHTEC,ATI,Implantação de IP Flex 1 Mbps de upload e 10 download,"Ponta A: Rua Professor José Vieira, nº770, sala 410, 4º andar, bairro Engenho Nogueira - BH/MG",Concluído,,18/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS216/2012,Mário,Cancelamento,16/05/2012,,5,21/05/2012,EILD,10 Mbps,,CTBC,Dialhost,Cancelamento do circuito BHE-06-0008-02-004,"Ponta A: Rua Evangelista Prates, 17, Bairro Califórnia - BH/MG / Ponta B: Av. Do Contorno, 5351, sala 1604 - Cruzeiro - BH/MG",Concluído,,17/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS217/2012,Djalma,Implantação,17/05/2012,PE048/2012,5,22/05/2012,Fibra apagada,,,TIM,Ativas,Jumper de interconexão TIM Raja / Intelig Floresta,"Ponta A: Av. Raja Gabaglia, 1781 - Luxemburgo / Ponta B: R. Geraldo Teixeira da Costa, 69 - Floresta",Concluído,,25/05/2012,"102,47","535,00",,"637,47",,,,"0,00",Incompleta,"637,47"
OS218/2012,Djalma,Implantação,17/05/2012,PE048/2012,5,22/05/2012,Fibra apagada,,,TIM,Ativas,Jumper de interconexão Intelig Floresta / Ativas Camargos,"Ponta A: R. Geraldo Teixeira da Costa, 69 - Floresta / Rua Agenério de Araújo, 20 - Camargos",Em Execução,,,"123,36","1.125,00",,"1.248,36",,,,"0,00",-,"1.248,36"
OS219/2012,Djalma,Implantação,17/05/2012,PE048/2012,5,22/05/2012,Fibra apagada,,,TIM,Ativas,Jumper de interconexão TIM Raja / Ativas Camargos,"Ponta A: Av. Raja Gabaglia, 1781 - Luxemburgo / Ponta B: R. Sócrates Alvin, 120 - Camargos",Em Execução,,,,,,"0,00",,,,"0,00",-,"0,00"
OS220/2012,Mário,Implantação,18/05/2012,,25,12/06/2012,Connect Flex Multi,20 Mbps,,Axial,,Implantação de Connect Flex Multi Hospital Ortopédico,"Ponta A: Rua Prof. Otávio Coelho Magalhães, 111, Bairro Serra - BH/MG (Anexo ao hospital Ortopédico) / Ponta B: Av. Bernardo Monteiro, 1472, Funcionários - BH/MG",Em Execução,,,"2.765,29","365,00","1.263,60","4.393,89",,,,"0,00",-,"4.393,89"
OS221/2012,Ruan,Infraestrutura,18/05/2012,,3,22/05/2012,,,,Telbrax,,Reforço da laje da loja,"Rua Pirapetinga, 322 - Serra - MG",Concluído,Execução se inicia no dia 19/05/2012,18/05/2012,,,"10.500,00","10.500,00",,,,"0,00",Incompleta,"10.500,00"
OS222/2012,Djalma,Expansão,18/05/2012,PE197/2012,5,23/05/2012,,,,Telbrax,,Swap G8 - Rota Landmark-G8,"Av. Nações Unidas, 12399 7º andar - Itaim Bibi",Concluído,,20/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS223/2012,Djalma,Implantação,18/05/2012,PE197/2012,5,23/05/2012,Connect Flex,500 Mbps,,Telbrax,,Connect Flex 1 Gbps - G8-Unotel via Landmark,"Av. Nações Unidas, 12399 7º andar - Itaim Bibi",Concluído,,20/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS224/2012,Rubens,Expansão,18/05/2012,PE197/2012,5,23/05/2012,Colocation,,,Telbrax,,Instalação do MX5 SRA,POP SRA,Concluído,,20/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS225/2012,Rubens,Expansão,18/05/2012,PE197/2012,5,23/05/2012,Colocation,,,Telbrax,,Instalação do MX5 PRO,POP PRO,Concluído,,22/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS226/2012,Rubens,Implantação,18/05/2012,PE197/2012,5,23/05/2012,,,,Telbrax,,Túnel GRE UNOTEL - MX5 PRO,POP UNOTEL - POP PRO,Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS227/2012,Djalma,Implantação,18/05/2012,PE197/2012,5,23/05/2012,Clear Channel,50 Mbps,,Telbrax,,Clear Channel 50 Mbps SP-BH,POP G8 - POP SRA,Concluído,,20/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS228/2012,Djalma,Expansão,18/05/2012,PE197/2012,5,23/05/2012,,,,Telbrax,,Swap Transit - Rota Unotel-Landmark,POP UNOTEL - Edifício Landmark,Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS229/2012,Djalma,Implantação,18/05/2012,PE197/2012,5,23/05/2012,,,,Telbrax,,Fibra Apagada POP UNOTEL - G8,POP UNOTEL - G8,Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS230/2012,,,,,5,23/05/2012,,,,Telbrax,,Retirada de equipamento - Switch de Operadoras POP SRA,POP SRA,Concluído,,25/05/2012,"1.086,48","130,00",,"1.216,48",,,,"0,00",Incompleta,"1.216,48"
OS231/2012,Mário,Implantação ,21/05/2012,PE156/2012,11,01/06/2012,Connect Flex,10 Mbps,,Dialhost,,Implantação de Connect Flex 10 Mbps com roteador do cliente,"Ponta A: Rua Evangelista Prates, 17, Bairro Califórnia - BH/MG/ Ponta B: PTT-MG",Concluído,,24/05/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS232/2012,Djalma,Expansão,21/05/2012,PE165/2012,30,20/06/2012,,,,Telbrax,,"Construção de rede subterrânea na Av. Santos Dumont, SMARU006/2011","Av. Santos Dumont, da Rua da Bahia até Rua Curitiba",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS233/2012,Djalma,Infraestrutura,21/05/2012,PE150/2012,30,20/06/2012,,,,Telbrax,Telbrax,Construção de entrada Subterrânea para acesso POP SRA.,"Rua Pirapetinga, 322 - Serra - MG",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS234/2012,Mário ,Implantação ,23/05/2012,PE184/2012,35,27/06/2012,IP Flex,2 Mbps,,Salum Construções,,Implantação de IP Flex 2 Mbps ,"Rua São Pedro da Aldeia, 1250, Bairro Pilar - BH/MG",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS235/2012,Mário,Implantação ,23/05/2012,,20,12/06/2012,Connect Flex,5 Mbps,,Hermes Pardini,,Implantação de Connect Flex na unidade Cidade Nova,"Ponta A; Rua Aymorés, 66, 5º andar Ponta / B: Av. Cristinano Machado, 597, Cidade Nova - BH/MG",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS236/2012,Wendell,Implantação ,23/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Rua Rio Grande do Norte, 726",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS237/2012,Wendell,Implantação ,23/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Ponta A: Rua Rio Grande do Norte, 726 - Ponta B: Rua da Bahia c/ Rua Goitacazes",Planejamento,,,--,--,--,--,,,,"0,00",-,--
OS238/2012,Wendell,Implantação ,23/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Ponta A: Rua Rio Grande do Norte, 726 - Ponta B: Rua Tamoios entre Rio de Janeiro e Av. Amazonas",Planejamento,,,--,--,--,--,,,,"0,00",-,--
OS239/2012,Wendell,Implantação ,23/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Ponta A: Rua Rio Grande do Norte, 726 - Ponta B: Av. do Contorno c/ Rua Prata",Planejamento,,,--,--,--,--,,,,"0,00",-,--
OS240/2012,Jan,Implantação ,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Ponta A: Rua Rio Grande do Norte, 726 - Ponta B: Rua Rio Grande do Norte entre Santa Rita Durão e Getulio Vargas",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
OS241/2012,Wendell,Implantação,24/05/2012,PE053/2012,,,Swap,,,Transit,Transit,Implantação de Rede Gpon Swap Transit,"Ponta A: Rua Rio Grande do Norte, 726 - Ponta B: Av. Raja Gabaglia, 1781",Planejamento,,,,,,"0,00",,,,"0,00",-,"0,00"
